DepMap ID,BUB1_expression,BUB3_expression,Cell Line Name,Primary Disease,Lineage
ACH-001113,5.815831566,6.795065583,LC1SQSF,Lung Cancer,Lung
ACH-001289,5.522306893,7.497532533,COGAR359,Rhabdoid,Soft Tissue
ACH-001339,5.524502537,6.543341212,COLO794,Skin Cancer,Skin
ACH-001538,4.90014226,7.217812331,KKU213,Bile Duct Cancer,Bile Duct
ACH-000242,5.150153455,7.941341105,RT4,Bladder Cancer,Urinary Tract
ACH-000708,5.258518925,7.601770788,SNU283,Colon/Colorectal Cancer,Colorectal
ACH-000327,4.445594291,6.22881869,NCIH1395,Lung Cancer,Lung
ACH-000233,5.477353527,7.201045686,DEL,Lymphoma,Lymphocyte
ACH-000461,5.951634417,7.718224612,SNU1196,Bile Duct Cancer,Bile Duct
ACH-000705,5.076815597,6.459595552,LC1F,Lung Cancer,Lung
ACH-001794,3.992768431,6.973266861,93T449,Liposarcoma,Soft Tissue
ACH-002023,5.093813673,7.018033223,TGBC18TKB,Colon/Colorectal Cancer,Colorectal
ACH-000528,5.129695157,7.089582893,ABC1,Lung Cancer,Lung
ACH-001655,4.482202926,6.666756592,SKN,Endometrial/Uterine Cancer,Uterus
ACH-000167,6.156234798,8.19184884,KE97,Myeloma,Plasma Cell
ACH-000792,6.220523436,7.62935662,BFTC909,Kidney Cancer,Kidney
ACH-001098,4.292781749,6.92314918,KCIMOH1,Pancreatic Cancer,Pancreas
ACH-000570,5.405311683,7.5987225,YKG1,Brain Cancer,Central Nervous System
ACH-000351,5.309976492,7.199770484,MKN1,Gastric Cancer,Gastric
ACH-000769,5.729824644,7.19357464,LK2,Lung Cancer,Lung
ACH-000154,5.106850796,7.705148528,HS888T,Fibroblast,Fibroblast
ACH-000828,4.658782734,7.785615937,ZR7530,Breast Cancer,Breast
ACH-000421,6.286326727,7.54225805,SW837,Colon/Colorectal Cancer,Colorectal
ACH-000765,6.058965822,7.03968676,WM983B,Skin Cancer,Skin
ACH-001375,6.046141782,6.619266268,PACADD119,Pancreatic Cancer,Pancreas
ACH-000008,5.512542955,7.068455852,A101D,Skin Cancer,Skin
ACH-001814,4.819668183,7.437960088,OS252,Bone Cancer,Bone
ACH-000800,6.119563684,7.604886762,NCIH446,Lung Cancer,Lung
ACH-000606,5.060047384,7.294436954,PECAPJ34CLONEC12,Head and Neck Cancer,Upper Aerodigestive
ACH-000317,3.94204526,5.879950768,TUHR14TKB,Kidney Cancer,Kidney
ACH-000123,5.171927354,7.07585348,COV434,Ovarian Cancer,Ovary
ACH-000723,5.305240966,6.605849867,YD10B,Head and Neck Cancer,Upper Aerodigestive
ACH-002066,5.275752049,7.120186028,HSSCH2,Sarcoma,Central Nervous System
ACH-001536,1.350497247,5.266786541,KKU100,Bile Duct Cancer,Bile Duct
ACH-000313,4.028569152,6.980368105,KMRC3,Kidney Cancer,Kidney
ACH-002019,3.554588852,6.793505772,HOKUG,Cervical Cancer,Cervix
ACH-000728,6.328944145,8.646342695,KASUMI2,Leukemia,Blood
ACH-000700,5.529196268,6.241268177,NCIH2882,Lung Cancer,Lung
ACH-000823,4.705977902,7.005849076,KYSE140,Esophageal Cancer,Esophagus
ACH-000678,5.315783575,7.07307042,MKN7,Gastric Cancer,Gastric
ACH-000006,5.730368236,8.111448698,MONOMAC6,Leukemia,Blood
ACH-002029,5.624100895,7.31097625,SAS,Head and Neck Cancer,Upper Aerodigestive
ACH-001377,5.162290614,7.519872097,PACADD137,Pancreatic Cancer,Pancreas
ACH-000754,6.940871478,7.374430938,L428,Lymphoma,Lymphocyte
ACH-000465,5.521364878,6.699468346,SKMEL1,Skin Cancer,Skin
ACH-000138,4.879705766,6.767125077,CFPAC1,Pancreatic Cancer,Pancreas
ACH-001864,2.550900665,5.963474124,YSCCC,Bile Duct Cancer,Bile Duct
ACH-000383,5.103917211,7.825722038,OE33,Esophageal Cancer,Esophagus
ACH-000917,5.610877199,7.343407822,TE4,Esophageal Cancer,Esophagus
ACH-000984,6.224580566,7.841218374,HEC6,Endometrial/Uterine Cancer,Uterus
ACH-001409,5.944389962,6.784765696,UMUC16,Bladder Cancer,Urinary Tract
ACH-000117,4.801676029,7.425425735,EFM192A,Breast Cancer,Breast
ACH-000999,4.772941338,7.593727246,SNU1040,Colon/Colorectal Cancer,Colorectal
ACH-000633,4.615298579,6.390254956,FU97,Gastric Cancer,Gastric
ACH-000520,5.231509211,7.455984709,59M,Ovarian Cancer,Ovary
ACH-000176,5.221490455,7.587440004,LOUNH91,Lung Cancer,Lung
ACH-000017,4.332707934,6.56163163,SKBR3,Breast Cancer,Breast
ACH-002022,4.277984747,7.740455397,PMFKO14,Colon/Colorectal Cancer,Colorectal
ACH-000020,5.898692073,8.525559959,MHHCALL2,Leukemia,Blood
ACH-001385,3.246408087,5.289096702,RPMI2650,Head and Neck Cancer,Upper Aerodigestive
ACH-000587,5.780310099,7.814294058,NCIH1975,Lung Cancer,Lung
