time (s),DL Filtering Design 1,DL Filtering Design 2,DL Filtering Design 3,DL Filtering Design 4,DL Filtering Design 5,DL Filtering Design 6,DL Filtering Design 7,ProteinMPNN Design 1
0,0,0,0,0,0,0,0,0
0.2,0.0021328,0.00086649,0.00358709,0.00497793,0.00810215,0.00754118,0.002898,0.00078632
0.4,0.00684,0.00500158,0.01059969,0.00388926,0.01401252,0.01283721,0.00350414,0.00630472
0.6,0.01332942,0.01145448,0.0096301,0.00818982,0.01028027,0.01179619,0.00918606,0.00642293
0.8,0.01374363,0.0112378,0.01529905,0.0072512,0.01242927,0.01818244,0.00921397,0.00450334
1,0.01291704,0.01568827,0.01877619,0.00793107,0.01536634,0.01796874,0.01229535,0.00482628
1.2,0.01265405,0.01775922,0.01972596,0.00971168,0.01604094,0.01961223,0.0111351,0.01251076
1.4,0.01012511,0.01506458,0.01520971,0.01564208,0.0183108,0.02146121,0.01468084,0.01012349
1.6,0.01339221,0.0174307,0.02350485,0.01175692,0.01662566,0.02012315,0.01570307,0.00952455
1.8,0.01380807,0.01736981,0.01642244,0.01660134,0.01402829,0.0186386,0.01148323,0.0123007
2,0.01814345,0.01992204,0.01854455,0.0188172,0.02027531,0.02511638,0.01858796,0.013365
2.2,0.01862638,0.01823745,0.02406639,0.01644011,0.01893744,0.02169077,0.01468937,0.0146899
2.4,0.01274909,0.0218115,0.0221177,0.02093063,0.02089117,0.025157,0.02213424,0.0160682
2.6,0.01647764,0.02250144,0.0221566,0.02245534,0.01883868,0.02425603,0.01840094,0.0156577
2.8,0.02136269,0.01784119,0.02570849,0.01825599,0.02494172,0.02473919,0.01717371,0.01351472
3,0.02187067,0.02532277,0.02861935,0.01915433,0.0248082,0.02730104,0.01987492,0.01611226
3.2,0.01697562,0.01982366,0.02558658,0.01946503,0.0228424,0.02547463,0.02216986,0.01622678
3.4,0.01800787,0.02509656,0.02566998,0.01946309,0.0226135,0.02599912,0.01972955,0.01672021
3.6,0.02453235,0.02609416,0.02408028,0.02033976,0.02361682,0.02571467,0.02155318,0.01900934
3.8,0.02333663,0.02856429,0.02619377,0.01973923,0.02556637,0.0253406,0.02021393,0.01933464
4,0.02222533,0.02916228,0.03160567,0.02002155,0.0303206,0.02418231,0.02100134,0.02157036
4.2,0.02019962,0.02904039,0.02556794,0.02034079,0.02451941,0.03237479,0.02408835,0.01952205
