soecues,mass_gm,Cell type,cell_number,Source
Suncus etruscus,2.70E+00,alveolar macrophages,5.50E+05,"[Stone, 1992]"
Mus musculus,1.92E+01,alveolar macrophages,2.90E+06,"[Stone, 1992]"
Mesocricetus auratus,1.06E+02,alveolar macrophages,1.05E+07,"[Stone, 1992]"
Rattus norvegius (Fisher 344),2.90E+02,alveolar macrophages,2.91E+07,"[Stone, 1992]"
Rattus norvegicus (Sprague-Dawley),3.63E+02,alveolar macrophages,2.69E+07,"[Stone, 1992]"
Cavia porcellus,3.35E+02,alveolar macrophages,5.88E+07,"[Stone, 1992]"
Oryctolagus cuniculus,2.72E+03,alveolar macrophages,1.42E+08,"[Stone, 1992]"
Canis familiaris,1.60E+04,alveolar macrophages,3.94E+09,"[Stone, 1992]"
Homo sapiens,6.85E+04,alveolar macrophages,5.99E+09,"[Stone, 1992]"
Equus caballus,5.13E+05,alveolar macrophages,4.76E+10,"[Stone, 1992]"
Suncus etruscus,2.70E+00,lung endothelial cells,3.08E+06,"[Stone, 1992]"
Mus musculus,1.92E+01,lung endothelial cells,6.28E+07,"[Stone, 1992]"
Mesocricetus auratus,1.06E+02,lung endothelial cells,1.66E+08,"[Stone, 1992]"
Rattus norvegius (Fisher 344),2.90E+02,lung endothelial cells,3.41E+08,"[Stone, 1992]"
Rattus norvegicus (Sprague-Dawley),3.63E+02,lung endothelial cells,4.10E+08,"[Stone, 1992]"
Cavia porcellus,3.35E+02,lung endothelial cells,7.46E+08,"[Stone, 1992]"
Oryctolagus cuniculus,2.72E+03,lung endothelial cells,3.35E+09,"[Stone, 1992]"
Canis familiaris,1.60E+04,lung endothelial cells,5.20E+10,"[Stone, 1992]"
Homo sapiens,6.85E+04,lung endothelial cells,7.32E+10,"[Stone, 1992]"
Equus caballus,5.13E+05,lung endothelial cells,8.04E+11,"[Stone, 1992]"
Suncus etruscus,2.70E+00,lung interstitial cells,6.30E+05,"[Stone, 1992]"
Mus musculus,1.92E+01,lung interstitial cells,2.69E+07,"[Stone, 1992]"
Mesocricetus auratus,1.06E+02,lung interstitial cells,7.65E+07,"[Stone, 1992]"
Rattus norvegius (Fisher 344),2.90E+02,lung interstitial cells,1.63E+08,"[Stone, 1992]"
Rattus norvegicus (Sprague-Dawley),3.63E+02,lung interstitial cells,2.47E+08,"[Stone, 1992]"
Cavia porcellus,3.35E+02,lung interstitial cells,4.92E+08,"[Stone, 1992]"
Oryctolagus cuniculus,2.72E+03,lung interstitial cells,2.34E+09,"[Stone, 1992]"
Canis familiaris,1.60E+04,lung interstitial cells,3.05E+10,"[Stone, 1992]"
Homo sapiens,6.85E+04,lung interstitial cells,5.25E+10,"[Stone, 1992]"
Equus caballus,5.13E+05,lung interstitial cells,5.97E+11,"[Stone, 1992]"
Suncus etruscus,2.70E+00,lung type I cells,2.66E+06,"[Stone, 1992]"
