Species,mass_gm,Cell_type,volume_fl,Source
Mus musculus,40.00,adipocytes (skin),10967.87,"[Morgado, 1990]"
Mesocricetus auratus,135.00,adipocytes (skin),19600.79,"[Morgado, 1990]"
Mesocricetus auratus,168.00,adipocytes (skin),21242.12,"[Morgado, 1990]"
Rattus norvegicus,189.00,adipocytes (skin),13987.82,"[Morgado, 1990]"
Rattus norvegicus,200.00,adipocytes (skin),25683.88,"[Morgado, 1990]"
Felis catus,2700.00,adipocytes (skin),31333.46,"[Morgado, 1990]"
Canis familiaris,5300.00,adipocytes (skin),35285.49,"[Morgado, 1990]"
Ovis aries,12000.00,adipocytes (skin),30414.22,"[Morgado, 1990]"
Sus scrofa,120000.00,adipocytes (skin),68350.67,"[Morgado, 1990]"
Equus caballus,270000.00,adipocytes (skin),28556.93,"[Morgado, 1990]"
Bos taurus,450000.00,adipocytes (skin),118606.41,"[Morgado, 1990]"
Suncus etruscus,2.70,alveolar macrophages,610.00,"[Stone, 1992]"
Mus musculus,19.20,alveolar macrophages,493.00,"[Stone, 1992]"
Mesocricetus auratus,106.00,alveolar macrophages,534.00,"[Stone, 1992]"
Rattus norvegius (Fisher 344),290.00,alveolar macrophages,639.00,"[Stone, 1992]"
Rattus norvegicus (Sprague-Dawley),363.00,alveolar macrophages,1058.00,"[Stone, 1992]"
Cavia porcellus,335.00,alveolar macrophages,408.00,"[Stone, 1992]"
Oryctolagus cuniculus,2720.00,alveolar macrophages,682.00,"[Stone, 1992]"
Canis familiaris,16000.00,alveolar macrophages,654.00,"[Stone, 1992]"
Homo sapiens,68500.00,alveolar macrophages,1474.00,"[Stone, 1992]"
Equus caballus,513000.00,alveolar macrophages,1336.00,"[Stone, 1992]"
Mus musculus,40.00,Cerebellar granule neurons,43.83,"[Morgado, 1990]"
Mesocricetus auratus,135.00,Cerebellar granule neurons,91.69,"[Morgado, 1990]"
Mesocricetus auratus,168.00,Cerebellar granule neurons,64.38,"[Morgado, 1990]"
Rattus norvegicus,189.00,Cerebellar granule neurons,71.88,"[Morgado, 1990]"
Rattus norvegicus,200.00,Cerebellar granule neurons,108.06,"[Morgado, 1990]"
Felis catus,2700.00,Cerebellar granule neurons,126.22,"[Morgado, 1990]"
Canis familiaris,5300.00,Cerebellar granule neurons,64.32,"[Morgado, 1990]"
Ovis aries,12000.00,Cerebellar granule neurons,196.64,"[Morgado, 1990]"
Sus scrofa,120000.00,Cerebellar granule neurons,190.81,"[Morgado, 1990]"
