time (sec),OD
0,0.001
30,0.002
60,0.001
90,0.003
120,0.003
150,0.005
180,0.004
210,0.006
240,0.008
270,0.010
300,0.012
330,0.016
360,0.020
390,0.025
420,0.032
450,0.038
480,0.042
510,0.048
540,0.054
570,0.068
600,0.072
630,0.080
660,0.085
690,0.095
720,0.110
750,0.120
780,0.130
810,0.140
840,0.148
870,0.153
900,0.160
930,0.165
960,0.172
990,0.181
1020,0.190
1050,0.200
1080,0.205
1110,0.211
1140,0.216
1170,0.218
1200,0.219
1230,0.220
1260,0.224
1290,0.227
1320,0.229
1350,0.233
1380,0.236
1410,0.238
1440,0.240
1470,0.242
1500,0.243
1530,0.245
1560,0.247
1590,0.246
1620,0.248
1650,0.250
1680,0.252
1710,0.256
1740,0.253
1770,0.254
1800,0.253
1830,0.254
1860,0.255
1890,0.256
1920,0.257
1950,0.256
1980,0.256
2010,0.257
2040,0.255
2070,0.257
2100,0.258
2130,0.258
2160,0.263
2190,0.261
2220,0.262
2250,0.267
2280,0.264
2310,0.267
2340,0.268
2370,0.270
2400,0.271
2430,0.272
2460,0.268
2490,0.270
2520,0.271
2550,0.275
2580,0.277
2610,0.274
2640,0.277
2670,0.273
2700,0.276
2730,0.273
2760,0.276
2790,0.275
2820,0.272
2850,0.276
2880,0.275
2910,0.279
2940,0.275
2970,0.277
3000,0.278
